Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_swd,regression,RMSE,0.2281,0.0321,2529,"{""lr"": 0.0047307062096009905, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.7310,0.2069,0.7828,0.1440,0.8469,0.1126
load_swd,regression,RMSE,0.2266,0.0260,2529,"{""lr"": 0.005082517552421693, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.7400,0.1680,0.7406,0.1133,0.7906,0.0946
load_swd,regression,RMSE,0.2233,0.0191,2529,"{""lr"": 0.0055442782202299885, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.8060,0.0619,0.8141,0.0713,0.8281,0.0767
load_auto_mpg,regression,RMSE,0.0697,0.0077,2433,"{""lr"": 0.006659756289947395, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.9847,0.0148,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.0885,0.0130,2433,"{""lr"": 0.002486585973739182, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.9923,0.0102,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.1156,0.0375,2433,"{""lr"": 0.002461546022676047, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.9772,0.0334,0.9625,0.0500,0.9375,0.0968
load_auto_mpg,regression,RMSE,0.1620,0.1245,2433,"{""lr"": 0.003987540525353835, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.9540,0.0426,0.8875,0.1696,0.9500,0.1000
load_auto_mpg,regression,RMSE,0.5305,0.5275,2433,"{""lr"": 0.007601679394418979, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.8075,0.3597,0.7875,0.3945,0.7250,0.3742
load_abalone,regression,RMSE,0.0762,0.0032,713,"{""lr"": 0.008649097963540207, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.9323,0.1064,1.0000,0.0000,1.0000,0.0000
load_abalone,regression,RMSE,0.0806,0.0057,713,"{""lr"": 0.007345069907587959, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.9217,0.1358,1.0000,0.0000,0.9969,0.0063
load_abalone,regression,RMSE,0.0860,0.0075,713,"{""lr"": 0.006036483886715935, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.8626,0.1170,0.9812,0.0375,0.9656,0.0688
load_abalone,regression,RMSE,0.0887,0.0086,713,"{""lr"": 0.0005219911916660558, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.7866,0.2660,0.7844,0.3157,0.7812,0.2971
load_abalone,regression,RMSE,0.0963,0.0158,713,"{""lr"": 0.012249008214738528, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.7614,0.3426,0.8781,0.1316,0.9219,0.0916
load_boston_housing,regression,RMSE,0.0687,0.0134,5121,"{""lr"": 0.007105473517220172, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0, ""offset"": 0.0}",0.1960,0.1298,0.5750,0.2861,0.7875,0.2640
load_boston_housing,regression,RMSE,0.0814,0.0172,5121,"{""lr"": 0.025647577308429353, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0, ""offset"": 0.0}",0.1386,0.1186,0.3625,0.3455,0.5875,0.3824
load_boston_housing,regression,RMSE,0.0775,0.0115,5121,"{""lr"": 0.002705259322354794, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0, ""offset"": 0.0}",0.0475,0.0950,0.0875,0.1750,0.1250,0.2201
load_boston_housing,regression,RMSE,0.0816,0.0093,5121,"{""lr"": 0.009587732762359602, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0, ""offset"": 0.0}",0.0871,0.1645,0.0750,0.1500,0.1125,0.2250
load_boston_housing,regression,RMSE,0.0861,0.0132,5121,"{""lr"": 0.008996783296237702, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0, ""offset"": 0.0}",0.1525,0.2903,0.0250,0.0306,0.0875,0.1458
