Dataset,Task Type,Metric Name,Metric Value,Metric Std Dev,NumOfParameters,Best Configuration,Mono Random Mean,Mono Random Std,Mono Train Mean,Mono Train Std,Mono Val Mean,Mono Val Std
load_swd,regression,RMSE,0.2137,0.0062,2529,"{""lr"": 0.002527035306516598, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.8290,0.0842,0.8344,0.1093,0.8578,0.1074
load_swd,regression,RMSE,0.2245,0.0105,2529,"{""lr"": 0.00040521965568067795, ""hidden_sizes"": [32, 64], ""batch_size"": 128, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.7110,0.0784,0.7797,0.0549,0.7891,0.0621
load_auto_mpg,regression,RMSE,0.0729,0.0030,2433,"{""lr"": 0.09280630777763395, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.9411,0.0594,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.0753,0.0051,2433,"{""lr"": 0.0018903578477668756, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.9949,0.0063,1.0000,0.0000,1.0000,0.0000
load_auto_mpg,regression,RMSE,0.0827,0.0080,2433,"{""lr"": 0.0011545871227323268, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.9898,0.0148,0.9750,0.0500,0.9875,0.0250
load_auto_mpg,regression,RMSE,1.7553,1.7420,2433,"{""lr"": 0.04145049187808412, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.4103,0.4819,0.6625,0.3700,0.9875,0.0250
load_auto_mpg,regression,RMSE,0.0853,0.0066,2433,"{""lr"": 0.001483621705544231, ""hidden_sizes"": [32, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.9644,0.0218,0.9500,0.0612,0.9375,0.0791
load_abalone,regression,RMSE,0.0755,0.0024,713,"{""lr"": 0.0038528542612952447, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.9315,0.0487,1.0000,0.0000,0.9875,0.0182
load_abalone,regression,RMSE,0.0763,0.0031,713,"{""lr"": 0.009896816093996808, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.9521,0.0552,1.0000,0.0000,1.0000,0.0000
load_abalone,regression,RMSE,0.0803,0.0063,713,"{""lr"": 0.003388698635384563, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.8891,0.1836,0.9875,0.0250,0.9875,0.0250
load_abalone,regression,RMSE,0.0834,0.0071,713,"{""lr"": 0.003034968390188365, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.9521,0.0437,0.9906,0.0188,0.9875,0.0182
load_abalone,regression,RMSE,0.0896,0.0049,713,"{""lr"": 0.0016723471078667286, ""hidden_sizes"": [8, 64], ""batch_size"": 64, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.7731,0.2147,0.9656,0.0536,0.9531,0.0523
load_boston_housing,regression,RMSE,0.0709,0.0115,5121,"{""lr"": 0.0033224989613783017, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1.0}",0.2040,0.1310,0.4250,0.1741,0.6250,0.2622
load_boston_housing,regression,RMSE,0.0701,0.0137,5121,"{""lr"": 0.014496822281684668, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10.0}",0.1089,0.0636,0.5500,0.0729,1.0000,0.0000
load_boston_housing,regression,RMSE,0.0711,0.0126,5121,"{""lr"": 0.004820681694559729, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 100.0}",0.1624,0.1714,0.2875,0.2784,0.4500,0.3478
load_boston_housing,regression,RMSE,0.0825,0.0180,5121,"{""lr"": 0.008208148715015408, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 1000.0}",0.0574,0.0763,0.1750,0.2604,0.2875,0.3460
load_boston_housing,regression,RMSE,0.0729,0.0095,5121,"{""lr"": 0.0038468191657088343, ""hidden_sizes"": [64, 64], ""batch_size"": 16, ""epochs"": 100, ""monotonicity_weight"": 10000.0}",0.0574,0.0737,0.0625,0.0685,0.0875,0.0637
